id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19048873,Enchanting Mountain Home near Downtown,68115476,Brian,,78704,30.256943236385826,-97.77167488772172,Entire home/apt,700,2,20,2019-01-21,1.03,1,338
19049934,Amazing Entire Home In Central East Austin,2585093,Cory,,78722,30.303628683476074,-97.71212403593839,Entire home/apt,225,2,8,2017-10-22,0.41,2,0
19053626,Modern Home Near Downtown,131885945,Ashley,,78744,30.17814984846527,-97.69435640243202,Private room,90,1,8,2017-09-04,0.39,1,0
19065777,"Charming Bungalow near UT, walk to cafes & bars.",11726193,Mindie,,78722,30.29168519685375,-97.7135164279911,Entire home/apt,150,1,89,2019-01-20,4.79,1,11
19069567,A cool place close to Downtown & Lady Bird Lake,20321915,Nicole,,78741,30.233600573535618,-97.73140181285282,Private room,31,2,9,2017-11-05,0.45,1,0
19073806,Quiet room in ideal location!,63373750,Madeleine,,78731,30.362520460583024,-97.74984113582478,Private room,33,2,9,2018-10-15,0.45,1,0
19083085,"Barton Hills Modern, walk to ACL!",644398,Jonathan,,78704,30.25526108374866,-97.78202493116281,Entire home/apt,950,1,1,2017-10-08,0.06,1,0
19084766,"Spicy colors and lively, artistic surroundings.",20704282,Catherine,,78734,30.383872503582843,-97.93337164710795,Entire home/apt,225,2,2,2018-11-25,0.55,2,365
19085585,Guadalupe: Shared Room in Awesome Community,8167447,Martin,,78751,30.32238667724099,-97.72606314203638,Shared room,23,29,2,2018-12-20,0.34,71,356
19086489,The Coop: Central-East Austin neighborhood,5577308,Kitty,,78723,30.309489781626347,-97.69944553939696,Entire home/apt,125,1,27,2019-01-21,2.43,1,350
19086764,See the best of the East Side & 4 mins to downtown,6072280,Angela,,78702,30.27253771613515,-97.71854857364583,Private room,33,1,40,2018-10-21,2.09,2,7
19092849,Beautiful house nestled in Austin hills,81733178,Marita,,78730,30.36201608096509,-97.79893137379695,Entire home/apt,400,5,1,2018-03-16,0.09,1,0
19095842,Evans: Shared Room in Central Austin Community,8167447,Martin,,78751,30.3161995347747,-97.71735380992928,Shared room,23,29,4,2018-12-01,0.22,71,307
19098538,House in popular and eclectic East Austin!,19069769,Brad,,78702,30.26156385097134,-97.69771715125943,Entire home/apt,295,2,19,2018-03-19,0.95,5,66
